"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
297,2,18569.56952,17808.8911,185.94418,7431.18801,166.14202,42.02441,12.75994
298,2,18680.0686,1458.45371,181.68939,3436.07535,78.36676,20.96907,13.45482
299,2,18688.12638,11016.84483,137.21084,4298.44997,172.79406,54.26441,15.56389
300,2,18783.33991,8000.05248,158.81509,3773.55072,154.86898,35.20976,15.43932
301,2,18744.13125,10383.95397,107.53434,1401.07442,176.37711,28.77565,16.0324
302,2,18698.37795,16861.33507,121.67751,4572.68218,276.7156,57.64457,12.35029
303,2,18805.13065,5075.77026,93.79286,1532.82176,205.54875,40.5932,15.81465
304,2,18784.95668,7147.65734,409.29761,42638.51074,6.20668,29.41217,7.70745
305,2,18743.02131,11215.47481,289.07329,30856.22162,0.00001,61.16052,10.66497
306,2,18725.66662,16135.10653,179.00594,9941.05332,178.35054,52.04432,10.94457
307,2,18959.6641,15429.98,15.57916,367.87415,205.91987,39.61839,5.5657
308,2,19059.16049,5553.02401,176.28104,10211.18643,167.98439,39.99699,8.08862
309,2,18947.09533,8000.55599,243.03582,11090.4495,81.23271,36.30196,12.59216
310,2,19296.60123,14413.53721,61.74437,937.60151,250.29649,51.97027,15.35355
311,2,19219.53925,6030.72292,446.93923,84955.78014,0,51.7799,7.90647
312,2,19159.37143,17986.27744,245.48171,7237.80092,102.4084,35.92645,19.28411
313,2,19309.34261,1547.0479,228.9621,8881.53095,52.44662,31.27648,12.11045
314,2,19269.65405,9323.14672,153.78268,4956.81057,158.96258,39.45217,12.3996
315,2,19230.19908,14451.25262,232.02925,14877.83549,64.9207,50.14887,11.75163
316,2,19336.20787,1736.17402,146.45002,2487.74315,109.27824,25.72681,14.76029
317,2,19392.65453,16682.54022,117.79605,2891.70092,173.81801,37.85403,12.17233
318,2,19350.37197,15712.0593,149.23532,2700.22977,122.4127,32.47052,17.5967
319,2,19397.12942,6151.74439,214.41516,12243.22927,168.34256,41.09394,10.10555
320,2,19811.58541,16898.70467,261.3731,11440.82049,49.38683,30.28048,11.85646
321,3,1833.24339,15963.64552,207.43049,3316.807,109.45043,26.80409,22.55975
322,3,2035.10751,4012.50499,129.03105,1309.89581,129.08284,27.51668,23.10608
323,3,2051.97187,15697.16947,175.5192,4677.06533,104.70399,32.90594,14.22271
