"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
231,2,13962.53469,20179.00307,106.38604,1066.94724,102.86545,16.86068,12.5061
232,2,14133.90261,14225.52803,90.04342,1256.97083,132.29983,30.1753,13.43978
233,2,14197.36852,12667.52135,95.50946,3815.4392,195.83953,55.28771,9.00906
234,2,14227.96403,18950.23447,102.85078,2406.67361,123.06241,33.6511,10.12909
235,2,14259.00763,5605.19584,108.92322,1301.3974,121.2124,23.23766,14.44105
236,2,14362.77284,7553.15366,110.00364,2755.74649,164.88235,36.56859,10.86926
237,2,14425.5759,11441.3465,148.07676,6292.83418,116.68064,40.7368,9.43698
238,2,14438.2883,14975.1181,81.34316,973.04337,150.69446,34.06186,16.0772
239,2,14407.28667,7644.23089,189.25185,4191.15334,151.53002,41.7642,23.02138
240,2,14641.13284,9562.80299,113.58584,3838.91833,146.88636,39.60841,9.02084
241,2,14672.43907,10530.55223,95.672,1421.58232,137.31373,19.6517,9.0458
242,2,14637.1874,14331.62879,115.07707,1968.06891,131.59872,30.24602,13.70677
243,2,15019.12896,17170.01102,226.54659,3260.6304,101.44485,18.41015,19.06685
244,2,15009.38968,12012.87548,118.53374,1208.29508,116.71298,19.27041,15.25796
245,2,15174.14917,9588.58462,85.92229,3267.92798,167.51921,35.76151,5.79113
246,2,15132.07145,14953.78848,96.54838,1709.41539,138.66301,30.3215,11.39055
247,2,15140.97959,18962.25828,78.55985,1547.40998,133.09336,32.13704,9.1357
248,2,15289.78089,7203.60892,15.64637,220.14587,128.77992,19.17484,4.88462
249,2,15296.14651,16342.10848,133.15426,1630.37075,148.37237,27.83081,20.01727
250,2,15440.46143,5607.46796,109.44549,2992.16582,131.27107,33.09184,9.06913
251,2,15608.27423,1672.14433,74.05445,421.9204,120.11897,20.42728,18.90605
252,2,15679.23719,16695.54042,57.24079,410.57068,141.26473,32.78938,19.47585
253,2,15967.86202,3153.22666,101.29551,745.63939,144.83751,23.17582,21.60032
254,2,15937.81595,3592.86714,91.7479,2435.21222,159.65223,27.06576,6.71014
255,2,15947.54519,14437.37301,131.83442,889.73533,140.34162,26.65971,34.14158
256,2,16068.28522,10762.11659,150.75679,3351.81846,103.0874,23.36751,10.72199
257,2,16144.11614,4524.13685,179.5713,4831.07288,120.3788,30.57153,13.43343
258,2,16202.42856,9145.8615,82.27425,3003.35271,173.37627,32.6536,5.36895
259,2,16341.22958,16049.57762,192.311,2671.97982,119.64692,28.87275,25.86994
260,2,16473.0483,7967.9288,78.67548,2532.62431,172.60172,35.49737,6.27173
261,2,16438.64783,17146.08212,40.5011,239.9337,116.39108,18.20304,11.04561
262,2,16482.55752,10689.09366,106.41973,1683.7174,128.72899,24.07605,11.17093
263,2,16655.09649,3133.56299,129.30828,2413.63473,115.07279,26.9209,12.5507
264,2,16741.12912,15209.34976,91.66627,1958.4547,160.19414,31.5042,9.42586
265,2,16965.03604,4442.52751,104.33365,1711.30439,141.31046,32.40617,13.96141
266,2,16981.91046,5171.95673,200.85539,3504.67377,115.58805,28.09161,21.00854
267,2,16915.74464,9595.34144,119.32607,715.01673,174.37912,26.73262,35.11359
268,2,16936.33868,13256.62722,94.33537,1013.88064,131.89763,25.10439,15.1642
269,2,17047.09047,14354.71,140.59397,1762.87843,143.89532,34.96105,25.61352
270,2,17111.6842,6298.59555,13.48627,154.00832,145.33915,18.79992,6.13454
271,2,17100.19312,1152.59348,154.99449,1458.26924,106.50234,22.16018,23.98786
272,2,17213.42415,16275.80721,120.9694,1207.9194,148.57324,27.5551,22.16779
273,2,17204.47584,5113.72102,84.81802,402.17561,166.39792,30.77508,37.49386
274,2,17275.09996,5645.36973,132.14543,1619.11449,131.36693,27.72855,19.79522
275,2,17208.20309,8215.25651,100.66698,3290.77595,136.54489,38.7748,8.21672
276,2,17275.72415,8842.87877,111.02252,1063.08063,199.5221,33.04744,25.45793
277,2,17371.00479,2878.18205,91.67459,804.48846,123.87796,22.28714,16.11026
278,2,17392.90644,15259.5338,141.39968,2705.8943,173.71102,35.90909,17.444
279,2,17354.70848,18366.95912,77.97966,559.21357,146.72179,23.68632,18.11758
280,2,17498.19926,4532.91168,358.09165,26917.00125,0.26884,30.45201,9.56069
281,2,17676.95428,4610.78405,159.74741,1769.10422,147.91277,29.86018,28.00687
282,2,17887.58972,6675.87895,114.5811,2721.68878,157.93782,32.73948,10.70287
